"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1010730","1010731","Абрикос Дары природы сушеный 150г","9900000020617","Абрикос Дары природы сушеный 150г","1000204","Cafe","4600294000449","кг/1000","TYPE_GOODS","9000","SET_BASE","4600294000449","SET_NOTDISABLE","В работе","Нет","3333",NULL,"AT_GOODS","Товар","ОСН",26,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1021658","1021659","ИнгСтакан DC бум 0,25л","9900000031516","ИнгСтакан DC бум 0,25л 2","200308","Общественное питание 200308","151515","шт/1","TYPE_GOODS","925000","SET_BASE","151515","SET_NOTDISABLE","В работе","Нет","10000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1021969","1021970","ИнгСтакан DC бум XL 0,35л","9900000032562","Ингредиент Стакан Drive Cafe бумажный XL 0,35л","200308","Общественное питание 200308","4640008913474","шт/1","TYPE_GOODS","262000","SET_BASE","4640008913474","SET_NOTDISABLE","В работе","Нет","3000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1021994","1021995","ИнгМол для кафе 1мл_","9900000032765","ИнгМол для кафе 1мл 2_","2","СОП.ТОВАРЫ","15151515","шт/1","TYPE_GOODS","780000","SET_BASE","15151515","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1021994","1021997","ИнгМол для кафе 1мл_","9900000032765","ИнгМол для кафе 1мл 2_","2","СОП.ТОВАРЫ","54667","шт/1","TYPE_GOODS","780000","SET_NOTBASE","54667","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1022005","1022006","ИигКофе для кофе зерно 1_","9900000032788","ИигКофе для кофе зерно 3_","200308","Общественное питание 200308","1234567435219","шт/1","TYPE_GOODS","10908000","SET_BASE","1234567435219","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1022005","3351448","ИигКофе для кофе зерно 1_","9900000032788","ИигКофе для кофе зерно 3_","200308","Общественное питание 200308","1234567435220","шт/1","TYPE_GOODS","10908000","SET_NOTBASE","1234567435220","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1049565","1049566","ИнгСтакан DC бум G 0,4л","9900000066887","Ингредиент Стакан Drive Cafe бумажный G 0,4л","1000204","Cafe","4640008915928","шт/1","TYPE_GOODS","213000","SET_BASE","4640008915928","SET_NOTDISABLE","В работе","Нет","2000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1049565","1049568","ИнгСтакан DC бум G 0,4л","9900000066887","Ингредиент Стакан Drive Cafe бумажный G 0,4л","1000204","Cafe","4640008917762","шт/1","TYPE_GOODS","213000","SET_NOTBASE","4640008917762","SET_NOTDISABLE","В работе","Нет","2000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1061631","1061632","Напиток DC м/с коф Капучино 0,2л","9900000072713","Напиток Drive Cafe молокосодержащий кофейный Капучино 0,2л","1004614","Сопутствующий бизнес New","2400000000013","шт/1","TYPE_GOODS","3000","SET_BASE","2400000000013","SET_DISABLE","Блокирован","При продаже","9900",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614","Сопутствующий бизнес New"
"1061634","1061635","Напиток DC м/с коф Латте 0,2л","9900000072714","Напиток Drive Cafe молокосодержащий кофейный Латте 0,2л","1004787","Кофейные напитки с молоком","2400000000020","шт/1","TYPE_GOODS",NULL,"SET_BASE","2400000000020","SET_NOTDISABLE","В работе","При продаже","9800",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
