"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1000132","1000133","ДТ(ДТ-А)","17","ДТ арктическое","174546","ДТ","17","л/1000","TYPE_FUEL",NULL,"SET_BASE","17","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000135","1000136","GДТ(ДТ)","18","ДТ G-Drive Diesel межсезонное","174546","ДТ","18","л/1000","TYPE_FUEL",NULL,"SET_BASE","18","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000138","1000139","GДТ(ДТ)","19","ДТ G-Drive Diesel зимнее","174546","ДТ","19","л/1000","TYPE_FUEL",NULL,"SET_BASE","19","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000141","1000142","АИ-92(АИ-92)","2","Бензин АИ-92","174544","АИ-92","2","л/1000","TYPE_FUEL","308589043","SET_BASE","2","SET_NOTDISABLE","В работе","Нет","5280",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174544","НП/АИ-92"
"1000144","1000145","GДТ(ДТ)","20","ДТ G-Drive Diesel арктическое","174546","ДТ","20","л/1000","TYPE_FUEL","694477","SET_BASE","20","SET_NOTDISABLE","В работе","Нет","5080",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000149","1000150","Дт+(ДТ-З)","21","ДТ+","174550","ПРОЧИЕ ГСМ","21","л/1000","TYPE_FUEL",NULL,"SET_BASE","21","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000152","1000153","Дт+(ДТ-Е)","22","ДТ+","174550","ПРОЧИЕ ГСМ","22","л/1000","TYPE_FUEL",NULL,"SET_BASE","22","SET_DISABLE","Блокирован","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000156","1000157","Дт+(ДТ-А)","23","ДТ+","174550","ПРОЧИЕ ГСМ","23","л/1000","TYPE_FUEL",NULL,"SET_BASE","23","SET_DISABLE","Блокирован","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000166","1000167","ДТОПТИ(ДТ)","24","ДТ ОПТИ межсезонное","174546","ДТ","24","л/1000","TYPE_FUEL","-250225","SET_BASE","24","SET_NOTDISABLE","В работе","Нет","5400",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000169","1000170","ДТОПТИ(ДТ)","25","ДТ ОПТИ зимнее","174546","ДТ","25","л/1000","TYPE_FUEL",NULL,"SET_BASE","25","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
